route_id,annual_boardings,avg_daily_boardings,avg_weekday_boardings,mean_peak_load,max_peak_load,n_observations,n_trips_observed,source,is_synthetic
101,16609,65,65,6.5,10.0,43,5,VTA RBS Oct 2025,False
102,44047,172,172,7.9,12.5,72,11,VTA RBS Oct 2025,False
103,41347,162,162,8.1,14.0,30,10,VTA RBS Oct 2025,False
20,61425,240,240,10.9,21.9,435,11,VTA RBS Oct 2025,False
200,6709,26,26,1.5,2.7,27,9,VTA RBS Oct 2025,False
201,5666,22,22,3.7,4.7,39,3,VTA RBS Oct 2025,False
202,6083,23,23,4.0,7.0,30,3,VTA RBS Oct 2025,False
203,12036,47,47,3.9,7.0,96,6,VTA RBS Oct 2025,False
22,480006,1882,1882,15.7,29.0,16767,60,VTA RBS Oct 2025,False
23,395293,1550,1550,14.6,33.0,14611,53,VTA RBS Oct 2025,False
246,35804,140,140,35.1,36.1,2,2,VTA RBS Oct 2025,False
25,317299,1244,1244,12.4,26.3,19460,50,VTA RBS Oct 2025,False
256,37642,147,147,24.6,30.3,41,3,VTA RBS Oct 2025,False
26,197996,776,776,8.6,25.6,15220,45,VTA RBS Oct 2025,False
27,84654,331,331,8.3,24.4,10050,20,VTA RBS Oct 2025,False
31,44895,176,176,5.9,20.5,1263,15,VTA RBS Oct 2025,False
37,12026,47,47,7.9,18.2,968,3,VTA RBS Oct 2025,False
39,8552,33,33,5.6,12.5,1870,3,VTA RBS Oct 2025,False
42,8887,34,34,8.7,26.0,826,2,VTA RBS Oct 2025,False
47,49961,195,195,6.5,17.6,136,15,VTA RBS Oct 2025,False
5,176915,693,693,12.4,33.1,3120,28,VTA RBS Oct 2025,False
500,412817,1618,1618,10.7,39.3,2428,76,VTA RBS Oct 2025,False
51,27800,109,109,9.1,23.5,540,6,VTA RBS Oct 2025,False
522,366698,1438,1438,13.1,28.0,5162,55,VTA RBS Oct 2025,False
56,98158,384,384,8.7,45.2,7602,22,VTA RBS Oct 2025,False
568,65953,258,258,12.9,22.4,672,10,VTA RBS Oct 2025,False
57,87698,343,343,8.6,26.8,4316,20,VTA RBS Oct 2025,False
59,60689,237,237,7.4,21.9,2037,16,VTA RBS Oct 2025,False
60,158506,621,621,9.7,31.0,11212,32,VTA RBS Oct 2025,False
61,114597,449,449,9.4,19.8,12992,24,VTA RBS Oct 2025,False
64A,147340,577,577,10.3,25.9,10866,28,VTA RBS Oct 2025,False
64B,96198,377,377,9.9,21.1,5553,19,VTA RBS Oct 2025,False
66,330929,1297,1297,14.4,32.5,17466,45,VTA RBS Oct 2025,False
68,401819,1575,1575,14.3,27.0,14888,55,VTA RBS Oct 2025,False
70,255489,1001,1001,8.8,26.3,14828,57,VTA RBS Oct 2025,False
71,226699,889,889,7.7,14.7,8908,58,VTA RBS Oct 2025,False
72,191389,750,750,9.9,26.0,11017,38,VTA RBS Oct 2025,False
73,173251,679,679,9.4,21.5,7996,36,VTA RBS Oct 2025,False
77,285730,1120,1120,9.2,19.5,8726,61,VTA RBS Oct 2025,False
83,1552,6,6,3.0,6.4,791,1,VTA RBS Oct 2025,False
BLUE,238905,936,936,16.2,88.0,8740,29,VTA RBS Oct 2025,False
GREEN,219970,862,862,18.0,458.0,7527,24,VTA RBS Oct 2025,False
ORNGE,260022,1019,1019,14.6,156.5,2606,35,VTA RBS Oct 2025,False
