district_id,total_pop,area_sq_miles,n_stops,coverage_area_sqmi,coverage_fraction,gap_fraction,gap_population
D1,3074.0,1.1518,11.0,8.64,1.0,0.0,0
D2,2594.0,1.0433,0.0,0.0,0.0,1.0,2594
D3,4652.0,1.1228,8.0,6.28,1.0,0.0,0
D4,3192.0,0.5814,8.0,6.28,1.0,0.0,0
D5,3029.0,0.439,2.0,1.57,1.0,0.0,0
D6,10254.0,2.6338,21.0,16.49,1.0,0.0,0
D7,3926.0,2.5204,16.0,12.57,1.0,0.0,0
D8,1350.0,4.2313,0.0,0.0,0.0,1.0,1350
D9,420.0,9.0846,0.0,0.0,0.0,1.0,420
D10,380.0,11.136,0.0,0.0,0.0,1.0,380
U1,8174.0,3.5652,0.0,0.0,0.0,1.0,8174
U2,7295.0,1.3263,11.0,8.64,1.0,0.0,0
U3,8861.0,1.6111,9.0,7.07,1.0,0.0,0
U4,4995.0,1.0223,7.0,5.5,1.0,0.0,0
U5,4463.0,0.935,15.0,11.78,1.0,0.0,0
U6,3100.0,1.9082,7.0,5.5,1.0,0.0,0
