district_id,tdi,tdi_rank,sli,sli_rank,n_stops,unmet_need,unmet_need_rank,equity_flag,service_gap
D1,0.4363,9,0.6987,2,11,0.0,13,OK,ADEQUATE
D10,0.1615,16,0.0,14,0,0.1615,6,OK,NO SERVICE
D2,0.2163,14,0.0,14,0,0.2163,4,OK,NO SERVICE
D3,0.3759,11,0.4481,8,8,0.0,13,OK,ADEQUATE
D4,0.4801,7,0.659,4,8,0.0,13,OK,ADEQUATE
D5,0.6863,1,0.2831,11,2,0.4032,2,PRIORITY,SEVERE GAP
D6,0.5604,4,0.6143,5,21,0.0,13,OK,ADEQUATE
D7,0.2715,12,0.6937,3,16,0.0,13,OK,ADEQUATE
D8,0.2414,13,0.0,14,0,0.2414,3,PRIORITY,NO SERVICE
D9,0.1632,15,0.0,14,0,0.1632,5,OK,NO SERVICE
U1,0.4188,10,0.0,14,0,0.4188,1,PRIORITY,NO SERVICE
U2,0.5372,6,0.5485,6,11,0.0,13,OK,ADEQUATE
U3,0.5381,5,0.4097,10,9,0.1284,8,OK,ADEQUATE
U4,0.6322,3,0.4879,7,7,0.1443,7,OK,ADEQUATE
U5,0.6732,2,0.8458,1,15,0.0,13,OK,ADEQUATE
U6,0.4792,8,0.4429,9,7,0.0363,9,OK,ADEQUATE
